Index;Season;Episode;Episode_name;Character_name;Character_race;Gender;Dialogue
41;1;1;Cruelty;Tanjiro;Human;Male;Jeez, it's late already. I'm glad they're sold out, though.
42;1;1;Cruelty;Saburo;Human;Male;Hey, Tanjiro! Are you gonna go back to the mountain? You'd better not. It's too dangerous.
43;1;1;Cruelty;Tanjiro;Human;Male;I've got a great sense of smell, so I'll be fine.
44;1;1;Cruelty;Saburo;Human;Male;I'll put you up for the night. Come on. Get back here.
45;1;1;Cruelty;Tanjiro;Human;Male;But...
46;1;1;Cruelty;Saburo;Human;Male;Don't argue! Come on! Before the demons show up.
47;1;1;Cruelty;Tanjiro;Human;Male;Thanks for the meal! Hey, Granddad Saburo, what are demons like?
48;1;1;Cruelty;Saburo;Human;Male;Man-eating demons have always prowled the land once it gets dark. That's why you should never stroll around at night. If you're done eating, go to bed. You can set off for home at first light.
49;1;1;Cruelty;Tanjiro;Human;Male;These demons wouldn't come inside your house, would they?
50;1;1;Cruelty;Saburo;Human;Male;Yes, they'd come in.
51;1;1;Cruelty;Tanjiro;Human;Male;Then, everyone would get eaten up by the demons.
52;1;1;Cruelty;Saburo;Human;Male;That's why the demon hunters protect us by slaying them since way back when. Lights out now. Go to sleep.
53;1;1;Cruelty;Tanjiro;Human;Male;Old man Saburo is all alone after losing his whole family. So, he must be lonely. I'll bring my brothers and sisters next time, and say, "You don't have to be scared. There are no demons. You're safe." But, come to think of it, my grandma used to say the same thing when she was still alive.
54;1;1;Cruelty;Saburo;Human;Male;You be careful now.
55;1;1;Cruelty;Tanjiro;Human;Male;Okay! Whenever happiness is destroyed, there's always... The smell of blood! Nezuko! What happened? What's going on? What happened here? Mom... Mom... Hanako... Takeo... Shigeru... Nezuko... Rokuta... Nezuko's the only one who's still warm! If I can get her to a doctor, she might survive! How did this happen? Was it a bear? Was it a bear that wasn't able to hibernate? I can't breathe! The air's so icy! My lungs hurt! Keep moving forward! Move your legs faster! We still have a long way to go before we reach town. Hurry! I won't let you die! I'm gonna save you no matter what! I swear your big brother will save you no matter what! Oh no! I was saved by the snow. I slipped because of the snow to begin with. Nezuko? Nezuko, are you all right? You don't have to walk! I'll carry you to town, okay? Nezuko! Sh-She's... a demon! I just remembered what old man Saburo told me. Nezuko's a man-eating demon? No! Nezuko's a human ever since she was born! However, she no longer has Nezuko's scent. But it wasn't Nezuko's doing! She was lying as if she was protecting Rokuta, and there was no blood on her mouth or hands. And there was one more... There was one more scent! Sh-She just grew in size! And she's getting stronger and stronger! While I was sleeping carelessly at Saburo's house, they were murdered brutally like that! I know it must've hurt. You suffered, didn't you? I'm so sorry I couldn't save you. If only I could help Nezuko at least! But she's too strong for me to push her back! Nezuko! Hang in there, Nezuko! Don't give in! You gotta hang in there! Don't turn into a demon! You gotta stay strong! Hang in there! Hang in there! What the... Who's that? A sword?
56;1;1;Cruelty;Giyu Tomioka;Human;Male;Why are you protecting it?
57;1;1;Cruelty;Tanjiro;Human;Male;She's my sister! She's my younger sister! Nezuko!
58;1;1;Cruelty;Giyu Tomioka;Human;Male;You call that thing your sister?
59;1;1;Cruelty;Tanjiro;Human;Male;Nezuko!
60;1;1;Cruelty;Giyu Tomioka;Human;Male;Don't move! My job is to slay demons. Needless to say, I'm going to decapitate your sister.
61;1;1;Cruelty;Tanjiro;Human;Male;Hold on! Nezuko hasn't killed anyone! Back at my house, there was another scent that I'd never smelled before! That's probably the one who killed my family! It wasn't Nezuko! I don't know why she turned into something like that, but... but still...
62;1;1;Cruelty;Giyu Tomioka;Human;Male;It's quite simple. Because her wounds were exposed to demon blood, she turned into a demon. That's how man-eating demons multiply.
63;1;1;Cruelty;Tanjiro;Human;Male;Nezuko would never eat humans!
64;1;1;Cruelty;Giyu Tomioka;Human;Male;You gotta be kidding. Just now, you were about to be devoured.
65;1;1;Cruelty;Tanjiro;Human;Male;You're wrong! I'm sure she knows who I am! I won't let her hurt anyone! I'm going to turn Nezuko back into a human! I swear I'll heal her!
66;1;1;Cruelty;Giyu Tomioka;Human;Male;She can't be healed. Once you become a demon, you can never go back to being a human.
67;1;1;Cruelty;Tanjiro;Human;Male;I'll find a way no matter what! So, please... So, please don't kill her! I'll hunt down the one who slaughtered my family! I'll make everything all right! Please! Please! Don't do it! Don't take anyone else from me. I'm begging you not to! Please! Don't kill my little sister! Please don't do it! I'm begging you...
68;1;1;Cruelty;Giyu Tomioka;Human;Male;Don't ever give others a chance to murder you! Stop that pathetic groveling! If it was the least bit effective, your family wouldn't be dead! Can a weakling who can't take the initiative in such a situation heal his sister?! Hunt down the enemy?! Don't make me laugh! The weak have no rights or choices! Their only fate is to be relentlessly crushed by the strong! The demons might know how to cure your sister! But don't think that a demon would respect your will or wishes! Naturally, I have no respect for you, either! That's reality! Why did you throw yourself over your sister earlier? Was that your way of protecting her? Why didn't you swing your hatchet? Why did you show your back to me? All those blunders led to your sister's capture! I could've skewered her along with you! Don't cry. Don't despair. Now's not the time for that. I know you're devastated. Your family was massacred, and your sister's become a demon. I know it's painful. I know you want to scream. I get it. If only I'd gotten here a half-day sooner, your family might not have ended up dead. But there's no way to turn back time. Feel the rage. The powerful, pure rage of not being able to forgive will become your unswerving drive to take action! With such a fragile resolve like yours, you can't protect your sister or heal her... or get revenge for your family!
69;1;1;Cruelty;Tanjiro;Human;Male;No! Stop!
70;1;1;Cruelty;Giyu Tomioka;Human;Male;A straightforward attack driven solely by emotion... You fool! Where's his hatchet? Just before he hid behind the tree, he hurled that rock toward me and, at the same time, tossed the hatchet in the air. He hid his hands as he pretended to attack so I wouldn't realize he was unarmed. He knew he couldn't beat me. He tried to bring me down after I struck him! This kid... Damn! She'll devour him!
71;1;1;Cruelty;Tanjiro;Human;Male;Nezuko... It wasn't Nezuko! She'd never eat humans!
72;1;1;Cruelty;Giyu Tomioka;Human;Male;Long ago, someone once said the same thing, only to be devoured by a demon. When a demon is starving, it will kill and devour even its own parents or siblings. Because they're nutrient-rich. I've seen it happen more times than I can count. This girl has been wounded, and she's expending energy to heal those injuries. She must've drained vast amounts of her strength as she transformed into a demon. That means she's severely starved at this moment, without a doubt. She must've wanted to feast on a human right away, even if it's her own brother... Yet, she protected him instead, and she even intimidated me... I wonder... These siblings might be... different from others.
73;1;1;Cruelty;Kie Kamado;Human;Female;I'm sorry to leave you behind, Tanjiro. Take care of Nezuko for me, all right?
74;1;1;Cruelty;Giyu Tomioka;Human;Male;You awake? Go see an old man named Sakonji Urokodaki who lives at the foot of Mt. Sagiri. Tell him that Giyu Tomioka sent you. She seems to be all right since it's cloudy now, but never let her be exposed to the sunlight, okay?
75;1;1;Cruelty;Tanjiro;Human;Male;Let's go.
76;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;Excuse me. Would it be okay if I took that basket, straw and some bamboo?
77;1;2;Trainer Sakonji Urokodaki;Young Man 2;Human;Male;Sure, you're welcome to it, but that basket's full of holes.
78;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;Yes. I'll pay you for it.
79;1;2;Trainer Sakonji Urokodaki;Young Man 2;Human;Male;No, that's all right. I mean, it's a basket with holes.
80;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;Yes, I will pay you!
81;1;2;Trainer Sakonji Urokodaki;Young Man 2;Human;Male;No, it's all right. You can have the bamboo and straw for free, too.
82;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;But I'm still paying you!
83;1;2;Trainer Sakonji Urokodaki;Young Man 2;Human;Male;I said it's okay! You're one stubborn kid!
84;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;Please accept this, although it's just small change! Thank you very much!
85;1;2;Trainer Sakonji Urokodaki;Young Man 2;Human;Male;Ouch!
86;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;Nezuko? Huh? Nezuko? She's gone! There she is. Nezuko... She dug a hole? My kid sister's turned into a mole. And she's frowning! She must really want to avoid the sunlight. Wait there for a second! Nezuko? Nezuko? Think you can fit inside this? I want to keep moving during the day, too. I'll carry you, okay? Can you fit? In here? Basket. She kinda protrudes, huh? I can't believe she grew up. Seems like yesterday that she was tiny. Nezuko? Remember how you became big like an adult earlier? Do you think you can do the opposite? Get smaller? Smaller, Nezuko! Get smaller! Good job! That's a good girl, Nezuko! I'm impressed!
87;1;2;Trainer Sakonji Urokodaki;Young Lady 1;Human;Female;Mt. Sagiri? If you want to go to Mt. Sagiri, you'll have to cross over that mountain, but... The sun's about to set. Are you really heading there with all that luggage? It's dangerous, you know.
88;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;I'll be careful. Thank you very much.
89;1;2;Trainer Sakonji Urokodaki;Young Lady 1;Human;Female;People have gone missing lately! Try not to lose your way!
90;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;There's a temple over there. There's light leaking through, so someone must be there. Let's check it out. I smell blood! This mountain path is pretty rough! Someone must've gotten hurt! Are you all right?
91;1;2;Trainer Sakonji Urokodaki;Demon Mt Sagiri;Demon;Male;What the hell? This is my turf. If you break into my territory, I'll make you pay!
92;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;It's a man-eating demon!
93;1;2;Trainer Sakonji Urokodaki;Demon Mt Sagiri;Demon;Male;There's something off about you. Are you both humans? A hatchet, huh? Not bad. But a scratch like this... should heal in no time. See that? The bleeding's stopped already.
94;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;He's so fast! And he's unbelievably strong!
95;1;2;Trainer Sakonji Urokodaki;Demon Mt Sagiri;Demon;Male;You won't get me twice! All right. I'm gonna snap your neck!
96;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;Sh-She killed him! Oh, but wait! He's a demon, so... N-Nezuko... I don't believe this! Did he just move without his head?!
97;1;2;Trainer Sakonji Urokodaki;Demon Mt Sagiri;Demon;Male;You bastards! One of you is a demon after all? You gave off such a weird vibe! What's a human and a demon doing teaming up?
98;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;He's actually talking! Stop it! Nezuko! Nezuko! What's the deal with this guy? Growing arms from his head! I gotta save Nezuko! Out of my way!
99;1;2;Trainer Sakonji Urokodaki;Demon Mt Sagiri;Demon;Male;Hard as a rock! That head of his... Like a rock!
100;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;Okay!
101;1;2;Trainer Sakonji Urokodaki;Demon Mt Sagiri;Demon;Male;I wrapped my hair around his hatchet to grab it, but it got tangled up! Dammit!
102;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;Nezuko! Where are you? Nezuko! Stop it! I wonder if there are tons of demons out there. This isn't the scent that was lingering in my house. That was a different demon... But... I gotta finish him off... or he'll attack more people! So... I gotta do it! Do it!
103;1;2;Trainer Sakonji Urokodaki;Urokodaki;Human;Male;You can't finish him off with that. A goblin mask!
104;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;I didn't hear his footsteps! H-How can I finish him off?
105;1;2;Trainer Sakonji Urokodaki;Urokodaki;Human;Male;Don't ask me! Can't you use your own head to figure that out?
106;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;If stabbing's no good, I'll have to crush his head! To crush his skull and smash it completely, I guess I'm going to have to pound him with this rock many times. I bet he's going to suffer. Isn't there anything I can use to kill him with one blow?
107;1;2;Trainer Sakonji Urokodaki;Urokodaki;Human;Male;This kid isn't going to cut it. He's too kind and can't make decisions. He's facing a demon, yet the scent of kindness remains. He has empathy for even a demon. Giyu... He's never going to make it.
108;1;2;Trainer Sakonji Urokodaki;Demon Mt Sagiri;Demon;Male;I blacked out. Is my body dead, then? I feel sick! You bastard, I'll kill you! I swear I'll devour you! Get over here! Dammit! I can't go to you, so you come to me!
109;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;I faltered too long. Now the sun's coming up!
110;1;2;Trainer Sakonji Urokodaki;Demon Mt Sagiri;Demon;Male;Hey, are you listening, brat? Hey, come here, you! Are you listening, you brat?
111;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;He's gone with that much sunlight?! No wonder Nezuko shrinks from it! Nezuko? Nezuko? Nezuko... O-Oh, that's right. Where's that man? He buried the people who got killed. Um...
112;1;2;Trainer Sakonji Urokodaki;Urokodaki;Human;Male;I'm Sakonji Urokodaki. I'm assuming you're the one Giyu Tomioka sent my way.
113;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;Yes! My name is Tanjiro Kamado! My sister's name is Nezuko, and...
114;1;2;Trainer Sakonji Urokodaki;Urokodaki;Human;Male;Tanjiro... What will you do when your sister devours a human? Too slow! You're just too slow at making decisions! You failed to finish off that demon before daybreak! Do you know why you couldn't answer my question right away? It's because your resolve is too weak! There are two things to do if your sister devours a human. Kill your sister! And slit your own belly and die! That's what it means to travel with your sister who became a demon! But that must never happen no matter what. And you'd best not forget. Your sister, taking the life of an innocent person... That's the one thing that must never happen. Ever! Do you understand what I'm saying?
115;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;Yes!
116;1;2;Trainer Sakonji Urokodaki;Urokodaki;Human;Male;All right, now I'm going to test you to see if you're fit to become a member of the Demon Slayer Corps. Carry your sister on your back and follow me!
117;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;He's so fast! Just how old is he anyway? And, like earlier, I'm not hearing any footsteps at all! Nezuko, I know it must be jarring, but please be patient! Well, being patient is all that you've ever known. Nezuko... All your life... You're fixing your kimono again? I guess we'll have to buy you a new one.
118;1;2;Trainer Sakonji Urokodaki;Nezuko;Demon;Female;No, no, it's all right! This kimono's my favorite! I'd rather the younger kids got more food to fill them up!
119;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;I swear I'll turn you back into a human! I swear I'll buy you a beautiful kimono someday! Everything that I couldn't do for the others... I'll do it all for you! N-Now, have I... passed the test?
120;1;2;Trainer Sakonji Urokodaki;Urokodaki;Human;Male;The test starts now. We're going to climb a mountain. I'll make sure to take care of your sister for you.
121;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;I'm counting on you, sir. I'm so exhausted. My legs are starting to buckle! I'm starting to feel dizzy, too.
122;1;2;Trainer Sakonji Urokodaki;Urokodaki;Human;Male;Now, from here, go back down to the house at the foot of the mountain. This time, I'm not going to wait until daybreak!
123;1;2;Trainer Sakonji Urokodaki;Tanjiro;Human;Male;Is that all? I see. He thinks I might get lost in this thick fog. I just have to get back by daybreak, right? That's easy! I've got a great sense of smell! I've already memorized Mr. Urokodaki's scent! Rocks?! A pitfall? I get it now. So, there are traps all around! That's the deal, huh? Uh-oh! Crap, crap, crap! If I keep walking into traps like this, I won't make it down the mountain by morning! And besides, this mountain... This mountain is... The air's thin here! It's way thinner here than on the mountain where I used to live! That's why I'm gasping for air like this and feel so dizzy! Will I make it back? I might pass out! No! I gotta make it back! Get your breathing under control... and sniff out each of those traps! Right! I've got it! I've got it! Traps set by human hands have a slightly different smell after all! But that doesn't mean... I'm suddenly athletic enough to dodge every one of them! I'm gonna make it back no matter what! Nezuko! I... have... returned.
124;1;2;Trainer Sakonji Urokodaki;Giyu Tomioka;Human;Male;Forgive my abruptness, Mr. Sakonji Urokodaki. I'm sending a boy your way who wants to become a Demon Slayer swordsman. He was brazen enough to attack me unarmed. His family was slaughtered by a demon, and the surviving younger sister has become one, but I have determined that she will not attack humans. I can sense something different about these two. Like yourself, the boy seems to have a keen sense of smell. Perhaps he'll find a way to break through and become your heir apparent. I am asking you to train him. I realize that this is a self-serving request, but please forgive me. I hope that you will take good care of yourself in your endeavors. Yours truly... Giyu Tomioka.
125;1;2;Trainer Sakonji Urokodaki;Urokodaki;Human;Male;I accept you as my student, Tanjiro Kamado.
126;1;3;Sabito and Makomo;Tanjiro;Human;Male;JOURNAL Tanjiro Kamado
127;1;3;Sabito and Makomo;Urokodaki;Human;Male;Let's go. The Demon Slayer Corps has around several hundred members. It's an organization unrecognized by the government. Yet it's existed since ancient times, and we continue to hunt demons today. But as for who's leading the Demon Slayer Corps, that remains a mystery. Demons. Staple food... Humans! They kill humans and feed on them. No one knows when and where they first appeared. Their physical prowess is remarkable. Wounds heal in the blink of an eye. Flesh is restored after being hacked off, and limbs can be newly regenerated. Some demons can shape-shift. Others have otherworldly powers. They can only be killed by sunlight or by decapitation with a special sword. The Demon Slayers battle the demons with their own mortal bodies. Since they're human, their wounds are slow to heal, and, once lost, their limbs don't grow back! Even so, they battle the demons... to protect other humans. I am a trainer. I literally train swordsmen. There are many trainers, and each of them trains their pupils with their own regimen in their location. To join the Demon Slayer Corps, you must survive the Final Selection process held on Mt. Fujikasane. Whether or not you're eligible for Final Selection is up to me.
128;1;3;Sabito and Makomo;Tanjiro;Human;Male;Starting today, I'm going to keep a journal for Nezuko. I'm descending the mountain again today. I'm going to train my hardest so I won't die during Final Selection. After repeatedly descending the mountain, day after day, I'm starting to learn how to avoid most of the traps. It's because I'm much stronger now, and because I'm even more adept at detecting scents than before. Even so... the traps are getting more and more difficult. He may really want to kill me! I made my descent today, sword in hand, but the sword really hampered my movement. With the sword, I can't stop getting ensnared in all the traps! 991! I swing the sword today. Well, it's not just today. I've been swinging the sword every single day. After descending the mountain, I swing my sword until my arms nearly fall off. 1,000!
129;1;3;Sabito and Makomo;Urokodaki;Human;Male;500 more!
130;1;3;Sabito and Makomo;Tanjiro;Human;Male;Swords break easily. That's what he told me beforehand. Though it's strong vertically, it's weak horizontally, so... you need to apply the force straight along the blade. The blade's direction and the direction in which you apply the force must be exactly the same. And he added, "If you ever damage the blade, in other words, break it, I'll snap your bones, as well" in a threatening tone of voice. Nezuko... I'll keep working hard, okay? Today, I did nothing but fall. Training to break my fall and get up quickly from any position. I wield my sword, and I charge Mr. Urokodaki really trying to kill him. In contrast, Mr. Urokodaki is bare-handed and unarmed. But he's ridiculously powerful! He flings me away to roll on the ground every time. I'm home, Nezuko. Today, I learned breathing techniques and some forms. Total Concentration Breathing?
131;1;3;Sabito and Makomo;Urokodaki;Human;Male;That's right. And I'm going to teach you all ten of the Water Breathing forms. Remember to take a long breath so the oxygen flows into every cell in your body. This will enhance your body's natural healing power, and both stabilize and energize your spirit. Relax your upper body while bracing your lower half. All right, breathe! Wrong! Next! Forms!
132;1;3;Sabito and Makomo;Tanjiro;Human;Male;Right! Like this?
133;1;3;Sabito and Makomo;Urokodaki;Human;Male;Wrong!
134;1;3;Sabito and Makomo;Tanjiro;Human;Male;Like this?
135;1;3;Sabito and Makomo;Urokodaki;Human;Male;Wrong!
136;1;3;Sabito and Makomo;Tanjiro;Human;Male;This?
137;1;3;Sabito and Makomo;Urokodaki;Human;Male;Wrong!
138;1;3;Sabito and Makomo;Tanjiro;Human;Male;This?
139;1;3;Sabito and Makomo;Urokodaki;Human;Male;Wrong!
140;1;3;Sabito and Makomo;Tanjiro;Human;Male;I get yelled at for not bracing my stomach and clobbered to a pulp. Next, he told me to become one with the water.
141;1;3;Sabito and Makomo;Urokodaki;Human;Male;Get in there!
142;1;3;Sabito and Makomo;Tanjiro;Human;Male;Nezuko! Nezuko! I am water! And now it's been six months since Nezuko was last awake. Mr. Urokodaki summoned the doctor right away and had him examine her, but he found nothing wrong. But it's not normal for her to stay asleep like this. I was scared. I worry that one morning, I'll wake up to find her dead. Not a day goes by that I don't worry. My descents are getting more dangerous, and the air's even thinner where I train. Time and time again, I think I might die.
143;1;3;Sabito and Makomo;Urokodaki;Human;Male;I have nothing more to teach you.
144;1;3;Sabito and Makomo;Tanjiro;Human;Male;A year after I arrived at Mt. Sagiri, he told me all of a sudden...
145;1;3;Sabito and Makomo;Urokodaki;Human;Male;The rest is up to you! Whether or not you can improve to the next level. Come with me! If you can slice this boulder, I will allow you to enter Final Selection.
146;1;3;Sabito and Makomo;Tanjiro;Human;Male;Is a boulder... something you slice? Something you can slice with a sword? I don't think I can do it. My sword will snap! Mr. Urokodaki, please wait! Mr. Urokodaki! After that, Mr. Urokodaki never taught me anything again. Every day, I practiced over and over what I'd learned from Mr. Urokodaki. The basics like holding the breath and flexibility... I was glad I had written those down in my journal. But... even after six months had passed, I still couldn't slice the boulder. I felt frustrated. Not enough! I wasn't training hard enough! I gotta do more! More! Am I... hopeless? Is Nezuko going to die without ever waking up? I'll almost give in! I'm breaking down!! Keep working, Tanjiro! You can do it!!
147;1;3;Sabito and Makomo;Sabito;Human;Male;Shut up! A man shouldn't whine. It's unseemly.
148;1;3;Sabito and Makomo;Tanjiro;Human;Male;When did he show up? There's no scent. A fox mask?
149;1;3;Sabito and Makomo;Sabito;Human;Male;Now matter how you suffer, bear it in silence... if you're a man. If you call yourself a man. Slow. Weak. Immature. That's not what you call a man.
150;1;3;Sabito and Makomo;Tanjiro;Human;Male;What are you doing?
151;1;3;Sabito and Makomo;Sabito;Human;Male;I'd like to know what you think you're doing.
152;1;3;Sabito and Makomo;Tanjiro;Human;Male;What do you mean? I'm training.
153;1;3;Sabito and Makomo;Sabito;Human;Male;How long do you plan to keep your butt on the ground without even taking a stance? Come on. Come at me.
154;1;3;Sabito and Makomo;Tanjiro;Human;Male;But you have a wooden sword, and I have a real sword!
155;1;3;Sabito and Makomo;Sabito;Human;Male;Well, well! Thank you for worrying about me. So, you think you're actually going to injure me! Well, you have absolutely nothing to worry about! I'm more powerful than you because I've sliced that boulder!
156;1;3;Sabito and Makomo;Tanjiro;Human;Male;He's sliced that boulder?
157;1;3;Sabito and Makomo;Sabito;Human;Male;You've learned nothing. You haven't mastered a single thing! Particularly, the breathing technique Mr. Urokodaki taught you... Total Concentration Breathing.
158;1;3;Sabito and Makomo;Tanjiro;Human;Male;He knows Mr. Urokodaki? And the breathing technique, too?
159;1;3;Sabito and Makomo;Sabito;Human;Male;All you did was memorize it as fact. Your body has no clue what it needs to do. What the hell were you doing for a whole year and a half? Slam it into your flesh! More! More! More! So that you'll never forget the secrets Mr. Urokodaki taught you! Pound it into the marrow of your bones!
160;1;3;Sabito and Makomo;Tanjiro;Human;Male;I'm trying! I'm trying every single day! With everything I've got! But I'm not making any headway! I just can't go any further!
161;1;3;Sabito and Makomo;Sabito;Human;Male;Go further! If you're a man! If you call yourself a man! There's no other way to go but forward! Bring it on! Show me what you're capable of! I'm leaving the rest to you.
162;1;3;Sabito and Makomo;Makomo;Human;Female;Are you all right?
163;1;3;Sabito and Makomo;Tanjiro;Human;Male;Did you see that just now? What a strike that was! Not a single bit of wasted motion! It was really beautiful! I want to become like that! You think I can become like him?
164;1;3;Sabito and Makomo;Makomo;Human;Female;I'm sure you can... since I'll be looking after you.
165;1;3;Sabito and Makomo;Tanjiro;Human;Male;She's so cute. Who are you? This girl's name was Makomo. She told me the boy's name was Sabito. Makomo also pointed out my defects. She corrected my unnecessary movements and bad habits. But when I asked her why she was doing that, and where she came from, she didn't tell me anything.
166;1;3;Sabito and Makomo;Makomo;Human;Female;Both he and I love Mr. Urokodaki very much.
167;1;3;Sabito and Makomo;Tanjiro;Human;Male;That was Makomo's pet phrase. She and Sabito weren't siblings. She said Mr. Urokodaki raised them after they'd been orphaned.
168;1;3;Sabito and Makomo;Makomo;Human;Female;There are other children besides us. They're always watching you, Tanjiro.
169;1;3;Sabito and Makomo;Tanjiro;Human;Male;Makomo is a somewhat strange girl. She speaks in such an abstract, dreamy way.
170;1;3;Sabito and Makomo;Makomo;Human;Female;See, Total Concentration Breathing accelerates your blood circulation and your heart rate. That causes your body temperature to spike, making you as strong as a demon while staying human. The important thing is to expand your lung capacity. When you bring lots of air into your blood, and when your blood gets excited, your bones and muscles scurry to heat up and grow stronger.
171;1;3;Sabito and Makomo;Tanjiro;Human;Male;I'm not sure I get that. How can I do that?
172;1;3;Sabito and Makomo;Makomo;Human;Female;Train to death. At the end of the day, there's nothing else you can do.
173;1;3;Sabito and Makomo;Tanjiro;Human;Male;Until my arms and legs were ready to fall off... Until my lungs and heart were ready to burst, I swung my sword. But still... I just couldn't beat Sabito. Not until six months later. When I challenged him that day, Sabito was wielding a real sword.
